Region,Subregion,Idx
Diencephalon,rAnterior_preoptic_dopaminergic_cluster,[]
Diencephalon,rAnterior_pretectum_cluster_of_vmat2_Neurons,"[ 2064  2681  2697  2811  2840  2855  2856  2942  2956  3267  3270  3274
  3276  3290  3297  3325  3342  3347  3355  3401  3450  3474  3548  3649
  3687  3739  3747  3780  3835  3878  3881  3911  3975  4012  4016  4032
  4045  4100  4115  4225  4226  4254  4257  4277  4311  4357  4377  4484
  4543  4674  4714  4822  4878  4925  4935  4956  5000  5017  5040  5126
  5163  5222  5289  5438  5493  5550  5557  5602  5611  5693  5725  5730
  5760  5762  5774  5785  5902  5904  5922  5935  5965  5986  5993  6008
  6028  6030  6073  6080  6093  6095  6116  6132  6138  6151  6202  6256
  6339  6411  6497  6507  6518  6525  6549  6574  6633  6655  6705  6709
  6762  6774  6795  6845  6868  6873  6876  6880  6898  6929  6951  6957
  6970  6977  7038  7061  7132  7152  7167  7184  7202  7240  7248  7303
  7322  7390  7462  7515  7549  7593  7627  7628  7692  7714  7765  7806
  7814  7848  7911  7945  7967  8001  8018  8046  8056  8061  8080  8098
  8111  8121  8135  8161  8174  8251  8253  8261  8325  8382  8427  8454
  8655  8658  8679  8707  8775  8784  8807  8847  8862  8888  8995  9051
  9098  9161  9225  9300  9311  9423  9424  9473  9487  9532  9553  9557
  9590  9644  9705  9757  9771  9793  9903 10000 10010 10076 10215 10265
 10301 10373 10471 10550 10581 10586 10657 10839 10900 11019 11100 11193
 11200 11312 11433]"
Diencephalon,rCaudal_Hypothalamus,[]
Diencephalon,rDiffuse_Nucleus_of_the_Intermediate_Hypothalamus,[160 269 339 344 351]
Diencephalon,rDopaminergic_Cluster_1___ventral_thalamic_and_periventricular_,"[  33   44  131  144  158  183  245  298  322  335  361  366  368  434
  440  541  544  545  580  587  648  678  694  820  939  968 1004 1040
 1248 1274 1293 1464 1471 1550 1947 2045 2123 2589]"
Diencephalon,rDopaminergic_Cluster_2___posterior_tuberculum,[]
Diencephalon,rDopaminergic_Cluster_3___hypothalamus,[]
Diencephalon,rDopaminergic_Cluster_4_5___posterior_tuberculum_and_hypothalam,[]
Diencephalon,rDopaminergic_Cluster_6___hypothalamus,[]
Diencephalon,rDopaminergic_Cluster_7___Caudal_Hypothalamus,[]
Diencephalon,rDorsal_Thalamus,"[2186 2207 2247 2309 2377 2548 2561 2642 2664 2711 2741 2819 2856 2942
 2956 2986 2993 3036 3048 3060 3237 3290 3297 3320 3322 3347 3425 3439
 3450 3470 3548 3609 3624 3672 3739 3747 3800 3818 3878 3960 4016 4032
 4041 4096 4100 4226 4230 4242 4254 4277 4377 4390 4402 4431 4543 4545
 4956 5298 5438 5493 5725 5730 5760 5922 5935 5986 5993 6008 6080 6093
 6095 6116 6138 6549 6795 6951 6978 7152 7188 7339 8056 8296 8367]"
Diencephalon,rEminentia_Thalami,"[1052 1387 1420 1518 1521 1528 1584 1630 1656 1754 1882 1997 2119 2143
 2299 2426 2586 2653 2873]"
Diencephalon,rHabenula,"[ 5487  5729  5880  5967  6148  6354  6401  6420  6490  6517  6523  6547
  6582  6594  6632  6647  6656  6678  6760  6770  6828  6850  6926  6927
  6944  6974  7112  7129  7224  7271  7336  7455  7550  7573  7577  7644
  7657  7755  7829  7886  7934  7951  7972  7984  8088  8104  8112  8156
  8285  8372  8382  8491  8555  8603  8712  8765  8797  8801  8836  8856
  8858  8875  8881  8929  8941  9043  9049  9074  9085  9140  9188  9239
  9255  9266  9281  9283  9286  9372  9380  9500  9529  9577  9623  9640
  9691  9725  9737  9768  9779  9784  9798  9809  9811  9858  9920  9986
  9987 10027 10070 10142 10147 10163 10224 10236 10272 10284 10295 10384
 10407 10452 10470 10529 10542 10556 10719 10790 10866 10891 10928 11041
 11069 11205 11237 11288 11289 11338 11361 11465 11545 11582 12096 12272]"
Diencephalon,rHypothalamus___Caudal_Hypothalamus_Neural_Cluster,[]
Diencephalon,rHypothalamus___Intermediate_Hypothalamus_Neural_Cluster,[]
Diencephalon,rHypothalamus_Gad1b_Cluster_1,339
Diencephalon,rHypothalamus_Vglut2_Cluster_1,[]
Diencephalon,rHypothalamus_Vglut2_Cluster_2,[]
Diencephalon,rHypothalamus_Vglut2_Cluster_3,[ 49 160 181 315 344 350 351 461 601 731]
Diencephalon,rHypothalamus_Vglut2_Cluster_5,[]
Diencephalon,rHypothalamus_Vglut2_Cluster_6,[]
Diencephalon,rHypothamic_VentroLateral_VMAT_cluster,[ 29  84 261]
Diencephalon,rIntermediate_Hypothalamus,[148 160 179 217 229 255 269 288 315 327 339 343 351 461 731]
Diencephalon,rLeft_Habenula_Vglut2_Cluster,"[ 6041  6523  6594  6678  6926  6944  7137  7224  7271  7550  7577  7644
  7829  7886  7934  7951  8156  8372  8382  8491  8555  8856  8929  9140
  9255  9500  9809  9920 10115 10236 10272 10470 10529]"
Diencephalon,rMedial_vglut2_cluster,[  57   82  110  190  192 1519 2396 3107]
Diencephalon,rMigrated_Area_of_the_Pretectum_M1,[3084 3645]
Diencephalon,rMigrated_Posterior_Tubercular_Area_M2,[147 519]
Diencephalon,rPineal_Vmat2_cluster,"[10718 10790 10981 11035 11095 11237 11253 11348 11465 11545 11732 11799
 11800 12055 12242 12421 12450 12490 13091 13203 13502 13585 13659 13676
 13845 13934 14523]"
Diencephalon,rPineal,"[10749 11175 11253 11307 11732 11737 11800 11901 11943 12376 12490 12803
 12831 13091 13190 13502 13659 13845 13934]"
Diencephalon,rPituitary,[]
Diencephalon,rPosterior_Tuberculum,"[  34   44   57   68   82   92  107  110  114  124  144  183  190  192
  254  319  353  364  440  455  541  544  545  552  555  567  570  587
  593  597  648  688  838  957 1004 1040 1051 1087 1136 1185 1198 1248
 1272 1274 1293 1341 1398 1450 1464 1471 1519 1538 1550 1600 1604 1703
 1710 1881 1947 1987 2045 2088 2123 2152 2167 2334 2335 2365 2379 2392
 2589 2670 2732 2760 2880 2881 2985 3065 3171 3294 3468]"
Diencephalon,rPreoptic_Area,"[   1   15   18   22   33   42   53   55  104  118  127  131  141  158
  159  183  196  197  237  245  246  247  270  277  298  322  335  349
  356  361  366  368  431  434  462  470  476  485  503  580  608  613
  622  648  670  678  694  697  730  820  852  874  895  922  939  949
  956  968 1004 1040 1055 1066 1126 1321 1337 1372 1387 1464 1471 1528
 1550 1600 1754 1947 2001 2123 2215 2365 2586]"
Diencephalon,rPreoptic_area_posterior_dopaminergic_cluster,[]
Diencephalon,rPretectal_Gad1b_Cluster,"[ 5762  6202  6507  6655  6868  6898  6929  6957  7061  7515  7628  7692
  7714  7765  7806  7814  7848  7945  8001  8018  8080  8098  8121  8135
  8251  8253  8261  8427  8454  8655  8658  8707  8775  8784  8807  8847
  8862  8888  8995  9051  9098  9161  9225  9300  9381  9424  9473  9487
  9557  9590  9705  9757  9793 10000 10146 10301 10657]"
